business_id,yelp_category,reviews,name,state,stars
YPavuOh2XsnRbLfl0DH2lQ,Other,1276,Lo-Lo's Chicken & Waffles,AZ,4
xkVMIk_Vqh17f48ZQ_6b0w,American (New),1915,Tom Colicchio's Craftsteak,NV,4
4k3RlMAMd46DZ_JyZU0lMg,Japanese,1008,Ramen Sora,NV,4
EAwh1OmG6t6p3nRaZOW_AA,American (Traditional),1758,Ellis Island Casino & Brewery,NV,4
3BCsAgo_1i4xMuTyLKMLRQ,American (New),1311,SkinnyFATS,NV,4.5
kRgAf6j2y1eR0wOFdzFAuw,Other,1130,Firefly,NV,4.5
RESDUcs7fIiihp38-d6_6g,Breakfast & Brunch,5715,Bacchanal Buffet,NV,4
LFs5jyYdXlzi0SpAYi1eSA,Bars,1068,Maggiano's Little Italy,NV,4
J4CATH00YZrq8Bne2S4_cw,Bars,1115,CUT,NV,4
4JNXUYY8wbaaDmk3BPzlWw,Breakfast & Brunch,6414,Mon Ami Gabi,NV,4
9a3DrZvpYxVs3k_qwlCNSw,Italian,1457,Cibo,AZ,4.5
CiYLq33nAyghFkUR15pP-Q,Mexican,1151,TACOS EL GORDO,NV,4.5
K-uQkfSUTwu5LIwPB4b_vg,Bars,1402,The Mission,AZ,4
sNVGdeOPeitJ3OWUQBINzQ,American (Traditional),1002,BabyStacks Cafe,NV,4
I6EDDi4-Eq_XlFghcDCUhw,Other,1691,Joe's Seafood Prime Steak & Stone Crab,NV,4.5
H8qpFitIesth86zqR4cwYg,Bakeries,1178,Jean Philippe Patisserie,NV,4
cJWbbvGmyhFiBpG_5hf5LA,Bars,1149,HofbrÃ¤uhaus Las Vegas,NV,3.5
RJNAeNA-209sctUO0dmwuA,American (New),1236,The Old Fashioned,WI,4
z6-reuC5BYf_Rth9gMBfgQ,American (New),1195,St. Francis Restaurant,AZ,4
OgJ0KxwJcJ9R5bUK0ixCbg,American (New),1533,Lux Central,AZ,4.5
FLMxWQO-ckCQmGZhU9OQgw,Breakfast & Brunch,1374,Carnival World Buffet,NV,3.5
RAh9WCQAuocM7hYM5_6tnw,Asian Fusion,1123,The Cowfish Sushi Burger Bar,NC,4
IMLrj2klosTFvPRLv56cng,American (New),1005,Honey Salt,NV,4
A-uZAD4zP3rRxb44WUGV5w,Japanese,1134,Soho Japanese Restaurant,NV,4.5
IsoLzudHC50oJLiEWpwV-w,American (Traditional),1012,Chelsea's Kitchen,AZ,4
l_GV0hgEoTUf70uJVT0_hg,American (New),1647,eat.,NV,4
j5nPiTwWEFr-VsePew7Sjg,Japanese,1302,Ichiza,NV,4
awI4hHMfa7H0Xf0-ChU5hg,Bars,1784,Oyster Bar,NV,4.5
hihud--QRriCYZw1zZvW4g,Asian Fusion,4120,Gangnam Asian BBQ Dining,NV,4.5
eS29S_06lvsDW04wVrIVxg,Breakfast & Brunch,1047,Barrio CafÃ©,AZ,4
dn_ipqbm7_jUz5X3rDez_A,Bars,1278,Todd English P.U.B.,NV,3.5
UNI1agsPX2k3eJSJVB91nw,American (Traditional),1400,Hot N Juicy Crawfish,NV,4
rTS8LsUmNIiXsXydE49tPA,Other,1169,Margaritaville - Las Vegas,NV,3.5
5shgJB7a-2_gdnzc0gsOtg,Other,1313,Firefly,NV,4.5
EnCIojgP5KTr1leaysFE3A,Other,1045,Viva Las Arepas,NV,4.5
3GEEy7RP6e4bT4LAiWFMFQ,Pizza,1462,Pizza Rock,NV,4
zdE82PiD6wquvjYLyhOJNA,Asian Fusion,1128,KoMex Fusion,NV,4.5
RwMLuOkImBIqqYj4SSKSPg,Mexican,1831,Tacos El Gordo,NV,4
faPVqws-x-5k2CQKDNtHxw,American (New),1318,Yardbird Southern Table & Bar,NV,4.5
7fxebHYUwIF6CakxSr70iQ,Bars,1147,Carnevino,NV,3.5
_w5hBpkjHs5_Hv3pLeHtIw,Other,1429,Julian Serrano,NV,4
3l54GTr8-E3XPbIxnF_sAA,American (New),1390,Rehab Burger Therapy,AZ,4.5
P7pxQFqr7yBKMMI2J51udw,American (New),2474,Holsteins Shakes and Buns,NV,4
G-5kEa6E6PD5fkBRuA7k9Q,Italian,1961,Giada,NV,3.5
IT_4EEIbv6Ox1jBRMyE7pg,Other,1111,Del Frisco's Double Eagle Steak House,NV,4.5
cHdJXLlKNWixBXpDwEGb_A,Asian Fusion,1170,Chino Bandido,AZ,4
GI-CAiZ_Gg3h21PwrANB4Q,American (Traditional),1066,Mastro's Ocean Club,NV,4.5
frCxZS7lPhEnQRJ3UY6m7A,Bars,1253,La Santisima,AZ,4.5
OETh78qcgDltvHULowwhJg,American (New),2700,Gordon Ramsay Steak,NV,4
Cni2l-VKG_pdospJ6xliXQ,American (New),2313,Burger Bar,NV,4
igHYkXZMLAc9UdV5VnR_AA,Other,1403,Echo & Rig,NV,4.5
cYwJA2A6I12KNkm2rtXd5g,Burgers,5116,Gordon Ramsay BurGR,NV,4
ECOkEVUodMLUxvI0PMI4gQ,Other,2056,Tao Nightclub,NV,3
mDR12Hafvr84ctpsV6YLag,American (Traditional),1248,Mr Mamas,NV,4.5
rcaPajgKOJC2vo_l3xa42A,Bakeries,3292,Bouchon at the Venezia Tower,NV,4
2weQS-RnoOBhb1KsHKyoSQ,Buffets,3676,The Buffet,NV,3.5
UUGoM4q4i8rK2CBRS0xDAw,Cafes,1046,Jean Philippe Patisserie,NV,4
pH0BLkL4cbxKzu471VZnuA,Asian Fusion,1823,SUSHISAMBA - Las Vegas,NV,4
bpRo8L8dkhgbJhdIKa9mwA,American (New),1158,STK Las Vegas,NV,4
GJ_bXUPv672YwNg4TneJog,Asian Fusion,1219,China Poblano,NV,3
gG9z6zr_49LocyCTvSFg0w,Bakeries,1141,AmÃ©lie's French Bakery,NC,4
PVTfzxu7of57zo1jZwEzkg,American (New),1039,FEZ,AZ,4
N0apJkxIem2E8irTBRKnHw,American (New),1282,Wolfgang Puck Bar & Grill,NV,4
yNPh5SO-7wr8HPpVCDPbXQ,American (New),1210,The Arrogant Butcher,AZ,4
QJR4qBUHegWEozSQrGmBPw,American (New),1543,Olives,NV,4
xVEtGucSRLk5pxxN0t4i6g,Bars,1314,Eiffel Tower Restaurant,NV,4
XZbuPXdyA0ZtTu3AzqtQhg,American (New),2771,Mesa Grill,NV,4
--9e1ONYQuAa-CB_Rrw7Tw,Other,1311,Delmonico Steakhouse,NV,4
QJatAcxYgK1Zp9BRZMAx7g,American (New),2091,Shake Shack,NV,4
VyVIneSU7XAWgMBllI6LnQ,American (New),1689,Bobby Q,AZ,4.5
Fi-2ruy5x600SX4avnrFuA,Breakfast & Brunch,1539,Spice Market Buffet,NV,3
d10IxZPirVJlOSpdRZJczA,American (New),1391,Citizen Public House,AZ,4.5
KskYqH1Bi7Z_61pH6Om8pg,Other,3458,Lotus of Siam,NV,4
K7lWdNUhCbcnEvI0NhGewg,Breakfast & Brunch,5216,Wicked Spoon,NV,3.5
XXW_OFaYQkkGOGniujZFHg,American (Traditional),2260,The Peppermill Restaurant & Fireside Lounge,NV,4
0FUtlsQrJI7LhqDPxLumEw,American (Traditional),1410,Joe's Farm Grill,AZ,4
#NAME?,Other,1117,Le Thai,NV,4
JpgVl3d20CMRNjf1DVnzGA,Other,1458,Pampas Brazilian Grille,NV,3
2iTsRqUsPGRH1li1WVRvKQ,American (New),1225,Carson Kitchen,NV,4.5
X8c23dur0ll2D9XTu-I8Qg,Bars,1432,Hakkasan Nightclub,NV,2.5
JzOp695tclcNCNMuBl7oxA,American (New),1755,Four Peaks Brewing,AZ,4.5
VsewHMsfj1Mgsl2i_hio7w,Bars,1346,LAVO Italian Restaurant & Lounge,NV,3.5
El4FC8jcawUVgw_0EIcbaQ,Other,3015,MGM Grand Hotel,NV,3
f4x1YBxkLrZg652xt2KR5g,American (New),3881,Hash House A Go Go,NV,4
eoHdUeQDNgQ6WYEnP2aiRw,American (New),3911,Serendipity 3,NV,3
wUKzaS1MHg94RGM6z8u9mw,American (New),1273,Olive & Ivy,AZ,4
gTlDDzDEHyDQ6iwjNhpI6A,Other,1015,Mount Everest India's Cuisine,NV,4.5
JyxHvtj-syke7m9rbza7mA,Japanese,1502,Sushi House Goyemon,NV,3.5
sqRX-XLlhx4rs2c1TpBf8A,Other,1153,Raku,NV,4.5
3N9U549Zse8UP-MwKZAjAQ,American (New),1036,Liberty Market,AZ,4
wl0QZqAzr1DelslQ02JGCQ,Bars,1373,Cornish Pasty Company,AZ,4.5
yfxDa8RFOvJPQh0rNtakHA,Chinese,2247,Pho Kim Long,NV,3.5
UPIYuRaZvknINOd1w8kqRQ,Japanese,1972,Monta Ramen,NV,4
ugLqbAvBdRDc-gS4hpslXw,Other,1536,Yama Sushi,NV,4
3kdSl5mo9dWC4clrQjEDGg,American (Traditional),2303,Egg & I,NV,4.5
jWv5GUtEp30OD5L5C8c2DQ,American (Traditional),1121,Mr. Mamas,NV,4.5
7sb2FYLS2sejZKxRYF9mtg,Japanese,1443,Sakana,NV,4.5
q-zZgXKAQFLEgMp9ZNllgQ,Japanese,1033,Umiya Sushi,NV,4
NvKNe9DnQavC9GstglcBJQ,American (New),2218,Grand Lux Cafe,NV,4
u-SJ5QUwrNquL9VnXwl8cg,Bars,1124,Postino Arcadia,AZ,4.5
4GXII-GU7S0ZyU6ElkhscQ,American (New),1171,Hooters Casino Hotel,NV,2.5
g8OnV26ywJlZpezdBnOWUQ,American (New),2835,Hash House A Go Go,NV,4
7sPNbCx7vGAaH7SbNPZ6oA,Asian Fusion,2735,Bachi Burger,NV,4
A5Rkh7UymKm0_Rxm9K2PJw,American (New),1049,Yard House Town Square,NV,4
LNGBEEelQx4zbfWnlc66cw,Buffets,1824,Studio B Buffet,NV,4
DkYS3arLOhA8si5uUEmHOw,Caterers,4655,Earl of Sandwich,NV,4.5
ujHiaprwCQ5ewziu0Vi9rw,American (New),3481,The Buffet at Bellagio,NV,3.5
YJ8ljUhLsz6CtT_2ORNFmg,Bars,2111,Gordon Ramsay Pub & Grill,NV,3.5
fQt4D34vcJNtEf8Q4zte3w,Asian Fusion,1228,TAO Asian Bistro,NV,3.5
ZkGDCVKSdf8m76cnnalL-A,Breakfast & Brunch,1864,Le Village Buffet,NV,3.5
JLbgvGM4FXh9zNP4O5ZWjQ,American (New),1249,Meat & Potatoes,PA,4
iCQpiavjjPzJ5_3gPD5Ebg,Pizza,3258,Secret Pizza,NV,4
HhVmDybpU7L50Kb5A0jXTg,Other,2067,Guy Fieri's Vegas Kitchen & Bar,NV,3.5
OVTZNSkSfbl3gVB9XQIJfw,American (New),1118,Cravings Buffet,NV,3
PXShA3JZMXr2mEH3on5clw,American (Traditional),1404,Egg Works,NV,4.5
0NmTwqYEQiKErDv4a55obg,Italian,1028,Scarpetta,NV,4
fL-b760btOaGa85OJ9ut3w,Barbeque,1996,Rollin Smoke Barbeque,NV,4.5
d_L-rfS1vT3JMzgCUGtiow,Breakfast & Brunch,1247,Border Grill,NV,4
LR0qF0FEVsCOhYWUOiH26A,Buffets,1651,The Buffet at ARIA,NV,3
L2p0vO3fsS2LC6hhQo3CzA,Breakfast & Brunch,1264,Matt's Big Breakfast,AZ,4
pSQFynH1VxkfSmehRXlZWw,Italian,1735,Pizzeria Bianco,AZ,4
eLFfWcdb7VkqNyTONksHiQ,Barbeque,1619,Gen Korean BBQ House,NV,4.5
JDZ6_yycNQFTpUZzLIKHUg,Bars,2316,El Dorado Cantina,NV,4.5
YhCAJ8acd1X7GkCHPhD8Xw,Burgers,1055,BLT Burger,NV,3.5
